details,name,variable
red,Iraq,color
red,Italy,color
red,Ivory-Coast,color
red,Japan,color
red,Jordan,color
red,Kampuchea,color
red,Kenya,color
red,Kiribati,color
red,Kuwait,color
red,Laos,color
red,Lebanon,color
red,Lesotho,color
red,Liberia,color
red,Liechtenstein,color
red,Luxembourg,color
red,Malagasy,color
red,Malawi,color
red,Malaysia,color
red,Maldive-Islands,color
red,Mali,color
red,Malta,color
red,Mauritius,color
red,Mexico,color
red,Monaco,color
red,Mongolia,color
red,Montserrat,color
red,Morocco,color
red,Mozambique,color
red,Netherlands,color
red,Netherlands-Antilles,color
red,New-Zealand,color
red,Niue,color
red,North-Korea,color
red,North-Yemen,color
red,Norway,color
red,Oman,color
red,Panama,color
red,Papua-New-Guinea,color
red,Parguay,color
red,Peru,color
red,Philippines,color
red,Poland,color
red,Portugal,color
red,Puerto-Rico,color
red,Romania,color
red,Rwanda,color
red,Sao-Tome,color
red,Senegal,color
red,Seychelles,color
red,Singapore,color
red,South-Africa,color
red,South-Korea,color
red,South-Yemen,color
red,Spain,color
red,St-Helena,color
red,St-Kitts-Nevis,color
red,Sudan,color
red,Surinam,color
red,Swaziland,color
red,Switzerland,color
red,Syria,color
red,Taiwan,color
red,Thailand,color
red,Togo,color
red,Tonga,color
red,Trinidad-Tobago,color
red,Tunisia,color
red,Turkey,color
red,Turks-Cocos-Islands,color
red,Tuvalu,color
red,UAE,color
red,Uganda,color
red,UK,color
red,US-Virgin-Isles,color
red,USA,color
red,USSR,color
red,Vanuatu,color
red,Vatican-City,color
red,Venezuela,color
red,Vietnam,color
red,Western-Samoa,color
red,Yugoslavia,color
red,Zaire,color
red,Zambia,color
red,Zimbabwe,color
green,Afghanistan,color
green,Algeria,color
green,Bangladesh,color
green,Belize,color
green,Benin,color
green,Bermuda,color
green,Bolivia,color
green,Brazil,color
green,British-Virgin-Isles,color
green,Bulgaria,color
green,Burkina,color
green,Burundi,color
green,Cameroon,color
green,Cape-Verde-Islands,color
green,Cayman-Islands,color
green,Central-African-Republic,color
green,Comorro-Islands,color
green,Congo,color
green,Cyprus,color
green,Djibouti,color
green,Dominica,color
green,Equatorial-Guinea,color
green,Ethiopia,color
green,Falklands-Malvinas,color
green,Fiji,color
green,Gabon,color
green,Gambia,color
green,Ghana,color
green,Grenada,color
green,Guam,color
green,Guinea,color
green,Guinea-Bissau,color
green,Guyana,color
green,Hong-Kong,color
green,Hungary,color
green,India,color
green,Iran,color
green,Iraq,color
green,Ireland,color
green,Italy,color
green,Ivory-Coast,color
green,Jamaica,color
green,Jordan,color
green,Kenya,color
green,Kuwait,color
green,Lebanon,color
green,Lesotho,color
green,Libya,color
green,Malagasy,color
green,Malawi,color
green,Maldive-Islands,color
green,Mali,color
green,Mauritania,color
green,Mauritius,color
green,Mexico,color
green,Montserrat,color
green,Morocco,color
green,Mozambique,color
green,Niger,color
green,Nigeria,color
green,North-Yemen,color
green,Oman,color
green,Pakistan,color
green,Parguay,color
green,Portugal,color
green,Romania,color
green,Rwanda,color
green,Sao-Tome,color
green,Saudi-Arabia,color
green,Senegal,color
green,Seychelles,color
green,Sierra-Leone,color
green,Soloman-Islands,color
green,South-Africa,color
green,Sri-Lanka,color
green,St-Helena,color
green,St-Kitts-Nevis,color
green,St-Vincent,color
green,Sudan,color
green,Surinam,color
green,Syria,color
green,Tanzania,color
green,Togo,color
green,Turks-Cocos-Islands,color
green,UAE,color
green,US-Virgin-Isles,color
green,Vanuatu,color
green,Venezuela,color
green,Zaire,color
green,Zambia,color
green,Zimbabwe,color
blue,American-Samoa,color
blue,Andorra,color
blue,Anguilla,color
blue,Antigua-Barbuda,color
blue,Argentina,color
blue,Argentine,color
blue,Australia,color
blue,Bahamas,color
blue,Barbados,color
blue,Belize,color
blue,Bermuda,color
blue,Botswana,color
blue,Brazil,color
blue,British-Virgin-Isles,color
blue,Bulgaria,color
blue,Burma,color
blue,Cayman-Islands,color
blue,Central-African-Republic,color
blue,Chad,color
blue,Chile,color
blue,Colombia,color
blue,Cook-Islands,color
blue,Costa-Rica,color
blue,Cuba,color
blue,Czechoslovakia,color
blue,Djibouti,color
blue,Dominica,color
blue,Dominican-Republic,color
blue,Ecuador,color
blue,El-Salvador,color
blue,Equatorial-Guinea,color
blue,Faeroes,color
blue,Falklands-Malvinas,color
blue,Fiji,color
blue,Finland,color
blue,France,color
blue,French-Guiana,color
blue,French-Polynesia,color
blue,Gabon,color
blue,Gambia,color
blue,Greece,color
blue,Guam,color
blue,Guatemala,color
blue,Honduras,color
blue,Hong-Kong,color
blue,Iceland,color
blue,India,color
blue,Israel,color
blue,Kiribati,color
blue,Laos,color
blue,Lesotho,color
blue,Liberia,color
blue,Liechtenstein,color
blue,Luxembourg,color
blue,Malaysia,color
blue,Marianas,color
blue,Mauritius,color
blue,Micronesia,color
blue,Mongolia,color
blue,Montserrat,color
blue,Nauru,color
blue,Nepal,color
blue,Netherlands,color
blue,Netherlands-Antilles,color
blue,New-Zealand,color
blue,Nicaragua,color
blue,Niue,color
blue,North-Korea,color
blue,Norway,color
blue,Panama,color
blue,Parguay,color
blue,Philippines,color
blue,Portugal,color
blue,Puerto-Rico,color
blue,Romania,color
blue,San-Marino,color
blue,Sierra-Leone,color
blue,Soloman-Islands,color
blue,Somalia,color
blue,South-Africa,color
blue,South-Korea,color
blue,South-Yemen,color
blue,St-Helena,color
blue,St-Lucia,color
blue,St-Vincent,color
blue,Swaziland,color
blue,Sweden,color
blue,Taiwan,color
blue,Tanzania,color
blue,Thailand,color
blue,Turks-Cocos-Islands,color
blue,Tuvalu,color
blue,UK,color
blue,Uruguay,color
blue,US-Virgin-Isles,color
blue,USA,color
blue,Venezuela,color
blue,Western-Samoa,color
blue,Yugoslavia,color
gold,Afghanistan,color
gold,Albania,color
gold,American-Samoa,color
gold,Andorra,color
gold,Angola,color
gold,Antigua-Barbuda,color
gold,Argentine,color
gold,Bahamas,color
gold,Barbados,color
gold,Belgium,color
gold,Belize,color
gold,Bermuda,color
gold,Bolivia,color
gold,Brazil,color
gold,British-Virgin-Isles,color
gold,Brunei,color
gold,Bulgaria,color
gold,Burkina,color
gold,Cameroon,color
gold,Cape-Verde-Islands,color
gold,Cayman-Islands,color
gold,Central-African-Republic,color
gold,Chad,color
gold,China,color
gold,Colombia,color
gold,Congo,color
gold,Cyprus,color
gold,Dominica,color
gold,Ecuador,color
gold,Egypt,color
gold,Ethiopia,color
gold,Falklands-Malvinas,color
gold,Fiji,color
gold,French-Polynesia,color
gold,Gabon,color
gold,Germany-DDR,color
gold,Germany-FRG,color
gold,Ghana,color
gold,Gibraltar,color
gold,Grenada,color
gold,Guam,color
gold,Guinea,color
gold,Guinea-Bissau,color
gold,Guyana,color
gold,Hong-Kong,color
gold,Jamaica,color
gold,Kampuchea,color
gold,Kiribati,color
gold,Liechtenstein,color
gold,Malaysia,color
gold,Mali,color
gold,Mauritania,color
gold,Mauritius,color
gold,Mongolia,color
gold,Montserrat,color
gold,Mozambique,color
gold,Nauru,color
gold,Niue,color
gold,Papua-New-Guinea,color
gold,Parguay,color
gold,Philippines,color
gold,Portugal,color
gold,Romania,color
gold,Rwanda,color
gold,Sao-Tome,color
gold,Senegal,color
gold,Soloman-Islands,color
gold,Spain,color
gold,Sri-Lanka,color
gold,St-Helena,color
gold,St-Kitts-Nevis,color
gold,St-Lucia,color
gold,St-Vincent,color
gold,Surinam,color
gold,Swaziland,color
gold,Sweden,color
gold,Tanzania,color
gold,Togo,color
gold,Turks-Cocos-Islands,color
gold,Tuvalu,color
gold,Uganda,color
gold,Uruguay,color
gold,US-Virgin-Isles,color
gold,USSR,color
gold,Vanuatu,color
gold,Vatican-City,color
gold,Venezuela,color
gold,Vietnam,color
gold,Yugoslavia,color
gold,Zaire,color
gold,Zimbabwe,color
white,Afghanistan,color
white,Algeria,color
white,American-Samoa,color
white,Anguilla,color
white,Antigua-Barbuda,color
white,Argentina,color
white,Argentine,color
white,Australia,color
white,Austria,color
white,Bahrain,color
white,Belize,color
white,Bermuda,color
white,Bhutan,color
white,Botswana,color
white,Brazil,color
white,British-Virgin-Isles,color
white,Brunei,color
white,Bulgaria,color
white,Burma,color
white,Burundi,color
white,Canada,color
white,Cayman-Islands,color
white,Central-African-Republic,color
white,Chile,color
white,Comorro-Islands,color
white,Cook-Islands,color
white,Costa-Rica,color
white,Cuba,color
white,Cyprus,color
white,Czechoslovakia,color
white,Denmark,color
white,Djibouti,color
white,Dominica,color
white,Dominican-Republic,color
white,Egypt,color
white,El-Salvador,color
white,Equatorial-Guinea,color
white,Faeroes,color
white,Falklands-Malvinas,color
white,Fiji,color
white,Finland,color
white,France,color
white,French-Guiana,color
white,French-Polynesia,color
white,Gambia,color
white,Gibraltar,color
white,Greece,color
white,Greenland,color
white,Guam,color
white,Guatemala,color
white,Guyana,color
white,Honduras,color
white,Hong-Kong,color
white,Hungary,color
white,Iceland,color
white,India,color
white,Indonesia,color
white,Iran,color
white,Iraq,color
white,Ireland,color
white,Israel,color
white,Italy,color
white,Ivory-Coast,color
white,Japan,color
white,Jordan,color
white,Kenya,color
white,Kiribati,color
white,Kuwait,color
white,Laos,color
white,Lebanon,color
white,Lesotho,color
white,Liberia,color
white,Luxembourg,color
white,Malagasy,color
white,Malaysia,color
white,Maldive-Islands,color
white,Malta,color
white,Marianas,color
white,Mexico,color
white,Micronesia,color
white,Monaco,color
white,Montserrat,color
white,Mozambique,color
white,Nauru,color
white,Nepal,color
white,Netherlands,color
white,Netherlands-Antilles,color
white,New-Zealand,color
white,Nicaragua,color
white,Niger,color
white,Nigeria,color
white,Niue,color
white,North-Korea,color
white,North-Yemen,color
white,Norway,color
white,Oman,color
white,Pakistan,color
white,Panama,color
white,Papua-New-Guinea,color
white,Parguay,color
white,Peru,color
white,Philippines,color
white,Poland,color
white,Portugal,color
white,Puerto-Rico,color
white,Qatar,color
white,Romania,color
white,San-Marino,color
white,Saudi-Arabia,color
white,Seychelles,color
white,Sierra-Leone,color
white,Singapore,color
white,Soloman-Islands,color
white,Somalia,color
white,South-Africa,color
white,South-Korea,color
white,South-Yemen,color
white,St-Helena,color
white,St-Kitts-Nevis,color
white,St-Lucia,color
white,St-Vincent,color
white,Sudan,color
white,Surinam,color
white,Swaziland,color
white,Switzerland,color
white,Syria,color
white,Taiwan,color
white,Thailand,color
white,Togo,color
white,Tonga,color
white,Trinidad-Tobago,color
white,Tunisia,color
white,Turkey,color
white,Turks-Cocos-Islands,color
white,Tuvalu,color
white,UAE,color
white,Uganda,color
white,UK,color
white,Uruguay,color
white,US-Virgin-Isles,color
white,USA,color
white,Vatican-City,color
white,Venezuela,color
white,Western-Samoa,color
white,Yugoslavia,color
white,Zimbabwe,color
black,Afghanistan,color
black,Albania,color
black,Angola,color
black,Antigua-Barbuda,color
black,Bahamas,color
black,Barbados,color
black,Belgium,color
black,Belize,color
black,Bermuda,color
black,Bhutan,color
black,Botswana,color
black,Brunei,color
black,Cape-Verde-Islands,color
black,Dominica,color
black,Egypt,color
black,French-Polynesia,color
black,Germany-DDR,color
black,Germany-FRG,color
black,Ghana,color
black,Guinea-Bissau,color
black,Guyana,color
black,Haiti,color
black,Iraq,color
black,Jamaica,color
black,Jordan,color
black,Kenya,color
black,Kuwait,color
black,Malawi,color
black,Malta,color
black,Montserrat,color
black,Mozambique,color
black,North-Yemen,color
black,Papua-New-Guinea,color
black,Parguay,color
black,Rwanda,color
black,Sao-Tome,color
black,South-Korea,color
black,South-Yemen,color
black,St-Kitts-Nevis,color
black,St-Lucia,color
black,Sudan,color
black,Swaziland,color
black,Syria,color
black,Tanzania,color
black,Trinidad-Tobago,color
black,UAE,color
black,Uganda,color
black,Vanuatu,color
black,Vatican-City,color
black,Venezuela,color
black,Zambia,color
black,Zimbabwe,color
orange,American-Samoa,color
orange,Anguilla,color
orange,Belize,color
orange,Bhutan,color
orange,British-Virgin-Isles,color
orange,Cape-Verde-Islands,color
orange,Cayman-Islands,color
orange,Fiji,color
orange,Guam,color
orange,Hong-Kong,color
orange,India,color
orange,Ireland,color
orange,Lebanon,color
orange,Mexico,color
orange,Nepal,color
orange,Niger,color
orange,Qatar,color
orange,Romania,color
orange,South-Africa,color
orange,Sri-Lanka,color
orange,St-Helena,color
orange,Swaziland,color
orange,Turks-Cocos-Islands,color
orange,Venezuela,color
orange,Zaire,color
orange,Zambia,color
0,Afghanistan,bars
0,Albania,bars
2,Algeria,bars
0,American-Samoa,bars
3,Andorra,bars
0,Angola,bars
0,Anguilla,bars
0,Antigua-Barbuda,bars
0,Argentina,bars
0,Argentine,bars
0,Australia,bars
0,Austria,bars
0,Bahamas,bars
0,Bahrain,bars
0,Bangladesh,bars
3,Barbados,bars
3,Belgium,bars
0,Belize,bars
0,Benin,bars
0,Bermuda,bars
0,Bhutan,bars
0,Bolivia,bars
0,Botswana,bars
0,Brazil,bars
0,British-Virgin-Isles,bars
0,Brunei,bars
0,Bulgaria,bars
0,Burkina,bars
0,Burma,bars
0,Burundi,bars
3,Cameroon,bars
2,Canada,bars
1,Cape-Verde-Islands,bars
0,Cayman-Islands,bars
1,Central-African-Republic,bars
3,Chad,bars
0,Chile,bars
0,China,bars
0,Colombia,bars
0,Comorro-Islands,bars
0,Congo,bars
0,Cook-Islands,bars
0,Costa-Rica,bars
0,Cuba,bars
0,Cyprus,bars
0,Czechoslovakia,bars
0,Denmark,bars
0,Djibouti,bars
0,Dominica,bars
0,Dominican-Republic,bars
0,Ecuador,bars
0,Egypt,bars
0,El-Salvador,bars
0,Equatorial-Guinea,bars
0,Ethiopia,bars
0,Faeroes,bars
0,Falklands-Malvinas,bars
0,Fiji,bars
0,Finland,bars
3,France,bars
3,French-Guiana,bars
0,French-Polynesia,bars
0,Gabon,bars
0,Gambia,bars
0,Germany-DDR,bars
0,Germany-FRG,bars
0,Ghana,bars
0,Gibraltar,bars
0,Greece,bars
0,Greenland,bars
0,Grenada,bars
0,Guam,bars
3,Guatemala,bars
3,Guinea,bars
1,Guinea-Bissau,bars
0,Guyana,bars
2,Haiti,bars
0,Honduras,bars
0,Hong-Kong,bars
0,Hungary,bars
0,Iceland,bars
0,India,bars
0,Indonesia,bars
0,Iran,bars
0,Iraq,bars
3,Ireland,bars
0,Israel,bars
3,Italy,bars
3,Ivory-Coast,bars
0,Jamaica,bars
0,Japan,bars
0,Jordan,bars
0,Kampuchea,bars
0,Kenya,bars
0,Kiribati,bars
0,Kuwait,bars
0,Laos,bars
0,Lebanon,bars
2,Lesotho,bars
0,Liberia,bars
0,Libya,bars
0,Liechtenstein,bars
0,Luxembourg,bars
1,Malagasy,bars
0,Malawi,bars
0,Malaysia,bars
0,Maldive-Islands,bars
3,Mali,bars
2,Malta,bars
0,Marianas,bars
0,Mauritania,bars
0,Mauritius,bars
3,Mexico,bars
0,Micronesia,bars
0,Monaco,bars
3,Mongolia,bars
0,Montserrat,bars
0,Morocco,bars
0,Mozambique,bars
0,Nauru,bars
0,Nepal,bars
0,Netherlands,bars
0,Netherlands-Antilles,bars
0,New-Zealand,bars
0,Nicaragua,bars
0,Niger,bars
3,Nigeria,bars
0,Niue,bars
0,North-Korea,bars
0,North-Yemen,bars
0,Norway,bars
0,Oman,bars
1,Pakistan,bars
0,Panama,bars
0,Papua-New-Guinea,bars
0,Parguay,bars
3,Peru,bars
0,Philippines,bars
0,Poland,bars
0,Portugal,bars
0,Puerto-Rico,bars
0,Qatar,bars
3,Romania,bars
3,Rwanda,bars
0,San-Marino,bars
0,Sao-Tome,bars
0,Saudi-Arabia,bars
3,Senegal,bars
0,Seychelles,bars
0,Sierra-Leone,bars
0,Singapore,bars
0,Soloman-Islands,bars
0,Somalia,bars
0,South-Africa,bars
0,South-Korea,bars
0,South-Yemen,bars
0,Spain,bars
2,Sri-Lanka,bars
0,St-Helena,bars
0,St-Kitts-Nevis,bars
0,St-Lucia,bars
5,St-Vincent,bars
0,Sudan,bars
0,Surinam,bars
0,Swaziland,bars
0,Sweden,bars
0,Switzerland,bars
0,Syria,bars
0,Taiwan,bars
0,Tanzania,bars
0,Thailand,bars
0,Togo,bars
0,Tonga,bars
0,Trinidad-Tobago,bars
0,Tunisia,bars
0,Turkey,bars
0,Turks-Cocos-Islands,bars
0,Tuvalu,bars
1,UAE,bars
0,Uganda,bars
0,UK,bars
0,Uruguay,bars
0,US-Virgin-Isles,bars
0,USA,bars
0,USSR,bars
0,Vanuatu,bars
2,Vatican-City,bars
0,Venezuela,bars
0,Vietnam,bars
0,Western-Samoa,bars
0,Yugoslavia,bars
0,Zaire,bars
3,Zambia,bars
0,Zimbabwe,bars
3,Afghanistan,stripes
0,Albania,stripes
0,Algeria,stripes
0,American-Samoa,stripes
0,Andorra,stripes
2,Angola,stripes
1,Anguilla,stripes
1,Antigua-Barbuda,stripes
3,Argentina,stripes
3,Argentine,stripes
0,Australia,stripes
3,Austria,stripes
3,Bahamas,stripes
0,Bahrain,stripes
0,Bangladesh,stripes
0,Barbados,stripes
0,Belgium,stripes
2,Belize,stripes
0,Benin,stripes
0,Bermuda,stripes
0,Bhutan,stripes
3,Bolivia,stripes
5,Botswana,stripes
0,Brazil,stripes
0,British-Virgin-Isles,stripes
0,Brunei,stripes
3,Bulgaria,stripes
2,Burkina,stripes
0,Burma,stripes
0,Burundi,stripes
0,Cameroon,stripes
0,Canada,stripes
2,Cape-Verde-Islands,stripes
0,Cayman-Islands,stripes
0,Central-African-Republic,stripes
0,Chad,stripes
2,Chile,stripes
0,China,stripes
3,Colombia,stripes
0,Comorro-Islands,stripes
0,Congo,stripes
0,Cook-Islands,stripes
5,Costa-Rica,stripes
5,Cuba,stripes
0,Cyprus,stripes
0,Czechoslovakia,stripes
0,Denmark,stripes
0,Djibouti,stripes
0,Dominica,stripes
0,Dominican-Republic,stripes
3,Ecuador,stripes
3,Egypt,stripes
3,El-Salvador,stripes
3,Equatorial-Guinea,stripes
3,Ethiopia,stripes
0,Faeroes,stripes
0,Falklands-Malvinas,stripes
0,Fiji,stripes
0,Finland,stripes
0,France,stripes
0,French-Guiana,stripes
3,French-Polynesia,stripes
3,Gabon,stripes
5,Gambia,stripes
3,Germany-DDR,stripes
3,Germany-FRG,stripes
3,Ghana,stripes
1,Gibraltar,stripes
9,Greece,stripes
0,Greenland,stripes
0,Grenada,stripes
0,Guam,stripes
0,Guatemala,stripes
0,Guinea,stripes
2,Guinea-Bissau,stripes
0,Guyana,stripes
0,Haiti,stripes
3,Honduras,stripes
0,Hong-Kong,stripes
3,Hungary,stripes
0,Iceland,stripes
3,India,stripes
2,Indonesia,stripes
3,Iran,stripes
3,Iraq,stripes
0,Ireland,stripes
2,Israel,stripes
0,Italy,stripes
0,Ivory-Coast,stripes
0,Jamaica,stripes
0,Japan,stripes
3,Jordan,stripes
0,Kampuchea,stripes
5,Kenya,stripes
0,Kiribati,stripes
3,Kuwait,stripes
3,Laos,stripes
2,Lebanon,stripes
0,Lesotho,stripes
11,Liberia,stripes
0,Libya,stripes
2,Liechtenstein,stripes
3,Luxembourg,stripes
2,Malagasy,stripes
3,Malawi,stripes
14,Malaysia,stripes
0,Maldive-Islands,stripes
0,Mali,stripes
0,Malta,stripes
0,Marianas,stripes
0,Mauritania,stripes
4,Mauritius,stripes
0,Mexico,stripes
0,Micronesia,stripes
2,Monaco,stripes
0,Mongolia,stripes
0,Montserrat,stripes
0,Morocco,stripes
5,Mozambique,stripes
3,Nauru,stripes
0,Nepal,stripes
3,Netherlands,stripes
1,Netherlands-Antilles,stripes
0,New-Zealand,stripes
